18163, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
18227, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK022503
18227, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025942
18506, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/police/documents/image/oak071183.jpg
18563, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/index.htm
18602, {{%content}}, field_about, http://www2.oaklandnet.com/Parking/SmartMeters/index.htm
18686, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak061862.pdf
18686, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak061637.pdf
18686, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/oak062089.pdf
34304, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/s/Projects/FruitvaleAlive/OAK053620
34306, {{%content}}, field_about, http://www2.oaklandnet.com/Government/o/PWA/s/Projects/10thStreetBridge/index.htm
34307, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/webcontent/dowd009218.pdf
34314, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025949
34325, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/report/oak040666.pdf
34327, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/marketingmaterial/oak057104.pdf
34327, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
34327, {{%content}}, field_about, http://www2.oaklandnet.com/gov...
51130, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
52217, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
52217, {{%content}}, field_about, http://www2.oaklandnet.com/gov...
63682, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
63684, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
63685, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
63692, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
63693, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
66283, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PBN/OurOrganization/PlanningZoning/s/ImpactFee/index.htm
66283, {{%content}}, field_about, http://www2.oaklandnet.com/Parking/DowntownParkingStudy/index.htm
66431, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PBN/OurOrganization/PlanningZoning/s/ImpactFee/index.htm
66431, {{%content}}, field_about, http://www2.oaklandnet.com/Parking/DowntownParkingStudy/index.htm
66435, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PBN/OurOrganization/PlanningZoning/s/ImpactFee/index.htm
66435, {{%content}}, field_about, http://www2.oaklandnet.com/Parking/DowntownParkingStudy/index.htm
66453, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PBN/OurOrganization/PlanningZoning/s/ImpactFee/index.htm
66453, {{%content}}, field_about, http://www2.oaklandnet.com/Parking/DowntownParkingStudy/index.htm
66457, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PBN/OurOrganization/PlanningZoning/s/ImpactFee/index.htm
66457, {{%content}}, field_about, http://www2.oaklandnet.com/Parking/DowntownParkingStudy/index.htm
66458, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PBN/OurOrganization/PlanningZoning/s/ImpactFee/index.htm
66458, {{%content}}, field_about, http://www2.oaklandnet.com/Parking/DowntownParkingStudy/index.htm
67806, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PBN/OurOrganization/PlanningZoning/s/ImpactFee/index.htm
67806, {{%content}}, field_about, http://www2.oaklandnet.com/Parking/DowntownParkingStudy/index.htm
69416, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
69417, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
69418, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
72378, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
72379, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
73600, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
73606, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
73993, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
74500, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/TelegraphAvenue/index.htm
82126, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
82127, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
82140, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
82161, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
82166, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
82167, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
82414, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/CityAdministration/d/project-implementation/o/OaklandArmyBase/index.htm
82535, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/CityAdministration/d/project-implementation/o/OaklandArmyBase/index.htm
82541, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
