509851, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025949
591081, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025949
51123, {{%matrixcontent_calltoaction}}, field_onlineLink_linkUrl, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
82173, {{%matrixcontent_calltoaction}}, field_onlineLink_linkUrl, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
82188, {{%matrixcontent_calltoaction}}, field_onlineLink_linkUrl, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
145249, {{%matrixcontent_calltoaction}}, field_onlineLink_linkUrl, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
583010, {{%matrixcontent_calltoaction}}, field_onlineLink_linkUrl, http://www2.oaklandnet.com/oakca1/groups/pwa/documents/agenda/oak032150.pdf
36368, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/https://oaklandca.s3.us-west-1.amazonaws.com/oakca1/groups/contributor/documents/report/oak069815.pdf
92602, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/https://oaklandca.s3.us-west-1.amazonaws.com/oakca1/groups/contributor/documents/report/oak069815.pdf
92604, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/https://oaklandca.s3.us-west-1.amazonaws.com/oakca1/groups/contributor/documents/report/oak069815.pdf
583411, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/https://oaklandca.s3.us-west-1.amazonaws.com/oakca1/groups/contributor/documents/report/oak069815.pdf
873596, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025955
873596, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025946
873596, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/LakeMerrittStewardship/index.htm
899730, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025955
899730, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025946
899730, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/LakeMerrittStewardship/index.htm
910598, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/opr/a/prac/AgendasandMinutes/index.htm?fragment18_NextRow=1&amp;find=&amp;order=title&amp;sort=a
910601, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/opr/a/prac/AgendasandMinutes/index.htm?fragment18_NextRow=1&amp;find=&amp;order=title&amp;sort=a
910602, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/opr/a/prac/AgendasandMinutes/index.htm?fragment18_NextRow=1&amp;find=&amp;order=title&amp;sort=a
910603, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/opr/a/prac/AgendasandMinutes/index.htm?fragment18_NextRow=1&amp;find=&amp;order=title&amp;sort=a
910604, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/opr/a/prac/AgendasandMinutes/index.htm?fragment18_NextRow=1&amp;find=&amp;order=title&amp;sort=a
910606, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/opr/a/prac/AgendasandMinutes/index.htm?fragment18_NextRow=1&amp;find=&amp;order=title&amp;sort=a
911404, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025955
911404, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025946
911404, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/LakeMerrittStewardship/index.htm
911410, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025955
911410, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025946
911410, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/LakeMerrittStewardship/index.htm
911414, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025955
911414, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/MeasureDD/OAK025946
911414, {{%matrixcontent_contentbuilder}}, field_text_text, http://www2.oaklandnet.com/government/o/PWA/o/EC/s/LakeMerrittStewardship/index.htm
